jAnAsi tvameva mAma bhAvaM -raNgesha | harikAmbOji - Adi
jaya jagadIsha hare kRiShNa jaya jagadIsha hare | shankarAbharaNam - Adi
nIlamaNinAthaM bhajAmi -santatam | brindAvana sArangA - Adi
shyAmasundara prabho tvayi mugdhoham | hindOLam - Adi
aparAdhinaM mAM govinda kRipayA pAlaya mukunda | nAdanAmakriyA - Adi
mA kuru vilambaM mAdhava shaure mAM patitaM pAhi shokasAgare | asAvEri - Adi
samacharaNo bhava govinda tiShThasi kiM tvaM vyatyastapAdaH | hindOLam - Adi
sharaNaM tvameva karuNAsindho | husEnI - Adi
pUjAM svIkuru puNyashloka purANapuruSha gopInAyaka | hindOLam - Adi
suruchinirAkRitabAlakabhakta- dhruvaparipAlaka jaya jaya deva | sArangA - Adi
shyAmasundara komAlAdhara shikhaNDashekhara rakSha mAm | AbhEri - tripuTa
jaya jaya rAdhe jaya jaya rAdhe jaya haridayite jaya jaya rAdhe | kAnaDA - Adi
gopikAjanabandho jaya gopAlakaruNAsindho | senjurutti - tripuTa
nIlameghashyAmaLarUpa gopAla nityAnandasvarUpa kRiShNa gopAla | pIlU - Adi
govinda kRiShNa nandabAla hare gopAla kRiShNa nandabAla | sindhubhairavi - Adi
divyamadhurAnagarIbhUpAla hare gopAla kRiShNa hare gopAla | senjurutti - Adi
madhurAnAtha hare mAdhava maNgaLaM dehi shaure | AbhOgi - Adi
gopAla navamohana - kRiShNa govinda jaganmohana | husEnI - Adi
bRindavanAntasanchAra hare mukunda vandArujanamandAra | kurunji - Adi
govardhanoddhAra gokulasanchAra gopImanohara gokuleshanandana | kApi - Adi
jaya maNgalaM nityashubhamaNgalamaM | punnAgavarAlI - chApu
